When	Who	Task	Type	From	To	Detail	Resolved
2026-09-09 19:53	Prv	1 untitled task	create			Task created	
2026-09-08 15:34	Prv	12 Assign tasks in SecureFrame	Task		Assign tasks in SecureFrame		
2026-09-08 15:34	Prv	12 Assign tasks in SecureFrame	create			Task created	
2026-09-08 15:33	Prv	11 FInalize	Task		FInalize		
2026-09-08 15:33	Prv	11 FInalize	create			Task created	
2026-09-08 15:33	Prv	10 Provision secureframe account for auditors	Task		Provision secureframe account for auditors		
2026-09-08 15:33	Prv	10 Provision secureframe account for auditors	create			Task created	
2026-09-08 15:02	Prv	2.1 untitled task	create			Subtask created under task 1	
2026-09-08 14:59	Prv	5.4 Endpoints / Servers/Desktops	Task		Endpoints / Servers/Desktops		
2026-09-08 14:59	Prv	5.3 Github	Task		Github		
2026-09-08 14:56	Prv	6.2 SOC2 reports	Task		SOC2 reports		
2026-09-08 14:56	Prv	6.2 SOC2 reports	create			Subtask created under task 5	
2026-09-08 14:56	Prv	6.1 List of all vendors including AI/ML vendors	Task		List of all vendors including AI/ML vendors		
2026-09-08 14:56	Prv	6.1 List of all vendors including AI/ML vendors	create			Subtask created under task 5	
2026-09-08 14:55	Prv	5.2 Google Workspace	Task	Infrastructure assets	Google Workspace		
2026-09-08 14:55	Prv	5.5 untitled task	create			Subtask created under task 4	
2026-09-08 14:41	Prv	3 Complete activities for the Trust Center	Number	1	2		
2026-09-08 14:41	Prv	5.4 Endpoints / Servers/Desktops	create			Subtask created under task 4	
2026-09-08 14:41	Prv	5.3 Github	create			Subtask created under task 4	
2026-09-08 14:37	Prv	5.2 Google Workspace	Task		Infrastructure assets		
2026-09-08 14:37	Prv	5.2 Google Workspace	create			Subtask created under task 4	
2026-09-08 14:37	Praveen	3.1 untitled task	create			Subtask created under task 1	
2026-09-08 14:37	Praveen	5.1 Cloud assets	Task		Cloud assets		
2026-09-08 14:37	Praveen	5.1 Cloud assets	create			Subtask created under task 4	
2026-09-08 14:36	Praveen	3 Complete activities for the Trust Center	Number	2	1		
2026-09-08 14:35	Praveen	9 Enable Github Security controls	Priority	Medium	High		
2026-09-08 14:35	Praveen	8 Create - finalize OV-1, System-View of Architecture	Priority	Medium	High		
2026-09-08 14:35	Praveen	7 Complete testing of Security Email -	Priority	Medium	High		
2026-09-08 14:35	Praveen	4 Complete Github hardening	Priority	Medium	High		
2026-09-08 14:35	Praveen	2 AWS hardening	Priority	Medium	High		
2026-09-08 14:35	Praveen	3 Complete activities for the Trust Center	Priority	Medium	High		
2026-09-08 14:35	Praveen	6 Vendor Inventory and Assessment	Priority	Medium	High		
